Hour Slot,count,time,temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,apparent_temperature,windgusts_10m,weathercode
02/02/2024 01,156,2024-02-02T01:00,1.3,93.0,0.0,22.2,-4.1,32.0,2
02/02/2024 02,60,2024-02-02T02:00,1.2,92.0,0.0,21.7,-4.1,32.0,0
02/02/2024 03,60,2024-02-02T03:00,0.9,91.0,0.0,19.0,-4.1,30.6,0
02/02/2024 04,82,2024-02-02T04:00,0.1,93.0,0.0,16.3,-4.5,26.6,0
02/02/2024 05,129,2024-02-02T05:00,-0.3,93.0,0.0,15.5,-4.9,23.0,0
02/02/2024 06,316,2024-02-02T06:00,-0.3,94.0,0.0,16.5,-5.0,22.7,0
02/02/2024 07,563,2024-02-02T07:00,0.6,93.0,0.0,16.4,-4.0,23.0,2
02/02/2024 08,771,2024-02-02T08:00,1.5,91.0,0.0,19.4,-3.5,27.4,2
02/02/2024 09,877,2024-02-02T09:00,2.1,89.0,0.0,19.4,-2.8,30.6,3
02/02/2024 10,886,2024-02-02T10:00,2.3,89.0,0.0,18.9,-2.5,30.2,2
02/02/2024 11,874,2024-02-02T11:00,2.8,88.0,0.0,19.8,-2.1,32.0,1
02/02/2024 12,988,2024-02-02T12:00,2.8,87.0,0.0,18.4,-1.9,32.4,3
02/02/2024 13,1045,2024-02-02T13:00,2.4,87.0,0.0,18.1,-2.3,31.3,3
02/02/2024 14,1084,2024-02-02T14:00,1.8,89.0,0.0,17.1,-2.8,30.6,3
02/02/2024 15,1031,2024-02-02T15:00,1.5,88.0,0.0,18.3,-3.3,29.5,3
02/02/2024 16,1059,2024-02-02T16:00,1.2,87.0,0.0,20.3,-4.0,31.0,2
02/02/2024 17,1127,2024-02-02T17:00,0.3,89.0,0.0,17.4,-4.5,30.6,0
02/02/2024 18,1025,2024-02-02T18:00,-0.2,90.0,0.0,17.3,-5.1,24.8,0
02/02/2024 19,890,2024-02-02T19:00,-0.1,90.0,0.0,15.6,-4.8,21.6,0
02/02/2024 20,753,2024-02-02T20:00,0.0,90.0,0.0,15.7,-4.6,22.0,0
02/02/2024 21,515,2024-02-02T21:00,0.3,90.0,0.0,15.9,-4.4,22.0,0
02/02/2024 22,361,2024-02-02T22:00,-0.1,92.0,0.0,13.6,-4.4,22.0,0
02/02/2024 23,294,2024-02-02T23:00,-1.0,92.0,0.0,12.0,-5.2,18.0,0
02/03/2024 00,316,2024-02-03T00:00,-2.0,93.0,0.0,10.3,-6.0,15.8,0
02/03/2024 01,209,2024-02-03T01:00,-2.7,93.0,0.0,9.5,-6.7,13.0,0
02/03/2024 02,113,2024-02-03T02:00,-2.9,92.0,0.0,9.7,-7.0,12.2,0
02/03/2024 03,98,2024-02-03T03:00,-2.6,91.0,0.0,11.6,-6.9,14.8,0
02/03/2024 04,74,2024-02-03T04:00,-2.3,90.0,0.0,13.6,-6.9,18.4,0
02/03/2024 05,95,2024-02-03T05:00,-2.2,90.0,0.0,14.3,-6.9,19.4,0
02/03/2024 06,135,2024-02-03T06:00,-2.2,90.0,0.0,14.6,-6.9,19.8,0
02/03/2024 07,151,2024-02-03T07:00,-2.4,92.0,0.0,13.7,-7.0,18.7,0
02/03/2024 08,311,2024-02-03T08:00,-1.2,90.0,0.0,13.2,-5.7,19.4,0
02/03/2024 09,460,2024-02-03T09:00,-0.4,86.0,0.0,14.6,-5.0,23.4,0
02/03/2024 10,520,2024-02-03T10:00,0.4,84.0,0.0,13.3,-4.0,23.8,0
02/03/2024 11,626,2024-02-03T11:00,1.5,82.0,0.0,12.2,-2.6,23.4,0
02/03/2024 12,609,2024-02-03T12:00,2.3,81.0,0.0,13.0,-1.9,24.1,0
02/03/2024 13,668,2024-02-03T13:00,2.6,81.0,0.0,14.6,-1.7,25.9,0
02/03/2024 14,667,2024-02-03T14:00,2.9,79.0,0.0,16.3,-1.7,27.7,0
02/03/2024 15,636,2024-02-03T15:00,2.8,80.0,0.0,17.5,-1.9,28.4,0
02/03/2024 16,726,2024-02-03T16:00,2.1,85.0,0.0,16.8,-2.5,28.4,0
02/03/2024 17,707,2024-02-03T17:00,1.2,89.0,0.0,15.0,-3.2,25.9,0
02/03/2024 18,688,2024-02-03T18:00,0.9,89.0,0.0,14.8,-3.5,21.2,0
02/03/2024 19,733,2024-02-03T19:00,0.2,90.0,0.0,15.7,-4.4,21.6,0
02/03/2024 20,590,2024-02-03T20:00,0.3,90.0,0.0,15.9,-4.4,22.0,0
02/03/2024 21,476,2024-02-03T21:00,0.1,89.0,0.0,14.8,-4.4,22.0,0
02/03/2024 22,466,2024-02-03T22:00,-0.4,87.0,0.0,14.1,-5.0,20.2,0
02/03/2024 23,383,2024-02-03T23:00,-0.9,86.0,0.0,13.0,-5.4,18.7,0
02/04/2024 00,279,2024-02-04T00:00,-1.2,86.0,0.0,13.7,-5.8,18.0,0
02/04/2024 01,216,2024-02-04T01:00,-1.1,85.0,0.0,15.4,-6.0,20.9,0
02/04/2024 02,159,2024-02-04T02:00,-1.4,87.0,0.0,13.2,-6.0,20.9,0
02/04/2024 03,95,2024-02-04T03:00,-2.0,89.0,0.0,11.7,-6.3,17.6,0
02/04/2024 04,80,2024-02-04T04:00,-1.8,88.0,0.0,13.5,-6.4,17.3,3
02/04/2024 05,74,2024-02-04T05:00,-1.8,88.0,0.0,14.2,-6.5,18.7,0
02/04/2024 06,138,2024-02-04T06:00,-1.8,87.0,0.0,14.7,-6.6,19.8,0
02/04/2024 07,172,2024-02-04T07:00,-2.0,88.0,0.0,14.5,-6.7,19.4,0
02/04/2024 08,281,2024-02-04T08:00,-0.6,85.0,0.0,14.2,-5.2,20.5,0
02/04/2024 09,399,2024-02-04T09:00,0.5,84.0,0.0,14.3,-4.0,23.4,0
02/04/2024 10,488,2024-02-04T10:00,1.1,84.0,0.0,12.3,-3.1,23.4,0
02/04/2024 11,511,2024-02-04T11:00,1.7,84.0,0.0,12.4,-2.4,23.4,0
02/04/2024 12,555,2024-02-04T12:00,2.1,85.0,0.0,15.2,-2.3,27.0,0
02/04/2024 13,562,2024-02-04T13:00,2.4,83.0,0.0,19.7,-2.6,32.4,0
02/04/2024 14,642,2024-02-04T14:00,2.6,84.0,0.0,21.3,-2.6,34.6,0
02/04/2024 15,623,2024-02-04T15:00,2.5,82.0,0.0,21.3,-2.8,34.2,0
02/04/2024 16,712,2024-02-04T16:00,2.0,85.0,0.0,20.0,-3.1,33.8,0
02/04/2024 17,664,2024-02-04T17:00,1.0,91.0,0.0,18.3,-3.8,30.2,0
02/04/2024 18,688,2024-02-04T18:00,0.6,91.0,0.0,18.5,-4.3,25.9,0
02/04/2024 19,684,2024-02-04T19:00,0.5,91.0,0.0,18.6,-4.5,26.6,0
02/04/2024 20,665,2024-02-04T20:00,0.4,88.0,0.0,17.4,-4.5,26.6,0
02/04/2024 21,439,2024-02-04T21:00,0.3,87.0,0.0,15.7,-4.4,24.1,0
02/04/2024 22,348,2024-02-04T22:00,0.1,89.0,0.0,15.6,-4.5,21.2,0
02/04/2024 23,262,2024-02-04T23:00,0.2,91.0,0.0,17.2,-4.7,23.8,0
02/05/2024 00,221,2024-02-05T00:00,0.3,92.0,0.0,17.7,-4.6,24.5,0
02/05/2024 01,94,2024-02-05T01:00,0.2,90.0,0.0,16.8,-4.6,24.1,0
02/05/2024 02,65,2024-02-05T02:00,-0.3,91.0,0.0,16.8,-5.2,23.0,0
02/05/2024 03,52,2024-02-05T03:00,-0.4,92.0,0.0,16.3,-5.2,23.0,0
02/05/2024 04,69,2024-02-05T04:00,-0.5,93.0,0.0,16.2,-5.3,22.7,0
02/05/2024 05,174,2024-02-05T05:00,-1.0,95.0,0.0,15.1,-5.6,22.3,0
02/05/2024 06,326,2024-02-05T06:00,-1.4,94.0,0.0,14.4,-6.0,20.5,0
02/05/2024 07,605,2024-02-05T07:00,-1.2,95.0,0.0,15.9,-5.9,21.6,1
02/05/2024 08,881,2024-02-05T08:00,0.3,94.0,0.0,15.2,-4.1,22.0,1
02/05/2024 09,1041,2024-02-05T09:00,1.5,88.0,0.0,20.5,-3.7,31.3,2
02/05/2024 10,978,2024-02-05T10:00,2.2,83.0,0.0,21.7,-3.2,34.6,3
02/05/2024 11,1000,2024-02-05T11:00,2.6,83.0,0.0,22.8,-2.9,35.6,3
02/05/2024 12,1020,2024-02-05T12:00,2.7,83.0,0.0,23.4,-2.8,37.4,2
02/05/2024 13,991,2024-02-05T13:00,2.7,82.0,0.0,23.4,-2.9,37.4,2
02/05/2024 14,1002,2024-02-05T14:00,2.6,81.0,0.0,22.3,-2.9,37.4,2
02/05/2024 15,1107,2024-02-05T15:00,2.1,82.0,0.0,21.2,-3.3,35.6,1
02/05/2024 16,1058,2024-02-05T16:00,1.6,84.0,0.0,18.5,-3.4,33.1,1
02/05/2024 17,1072,2024-02-05T17:00,0.7,90.0,0.0,14.8,-3.8,28.4,0
02/05/2024 18,1019,2024-02-05T18:00,-0.3,92.0,0.0,13.8,-4.7,20.9,0
02/05/2024 19,817,2024-02-05T19:00,-0.4,93.0,0.0,14.4,-4.9,20.2,0
02/05/2024 20,663,2024-02-05T20:00,-0.6,94.0,0.0,13.8,-5.0,20.2,0
02/05/2024 21,443,2024-02-05T21:00,-0.7,94.0,0.0,12.6,-4.9,19.1,2
02/05/2024 22,339,2024-02-05T22:00,-1.0,95.0,0.0,11.6,-5.1,16.6,3
02/05/2024 23,230,2024-02-05T23:00,-1.2,95.0,0.0,11.3,-5.3,14.8,3
02/06/2024 00,170,2024-02-06T00:00,-1.4,95.0,0.0,11.4,-5.5,14.4,3
02/06/2024 01,85,2024-02-06T01:00,-1.3,94.0,0.0,11.5,-5.5,14.8,3
02/06/2024 02,37,2024-02-06T02:00,-1.4,95.0,0.0,10.8,-5.5,14.8,3
02/06/2024 03,45,2024-02-06T03:00,-1.7,97.0,0.0,9.7,-5.6,13.3,3
02/06/2024 04,64,2024-02-06T04:00,-1.5,98.0,0.0,11.8,-5.6,14.0,3
02/06/2024 05,147,2024-02-06T05:00,-2.7,97.0,0.0,10.7,-6.8,16.2,3
02/06/2024 06,328,2024-02-06T06:00,-3.0,96.0,0.0,6.5,-6.6,13.3,3
02/06/2024 07,714,2024-02-06T07:00,-1.0,96.0,0.0,2.7,-3.8,7.2,3
02/06/2024 08,1093,2024-02-06T08:00,-0.9,98.0,0.0,7.4,-4.3,10.4,3
02/06/2024 09,1227,2024-02-06T09:00,-0.4,98.0,0.0,11.4,-4.3,19.1,3
02/06/2024 10,994,2024-02-06T10:00,1.4,91.0,0.0,11.1,-2.4,20.2,2
02/06/2024 11,971,2024-02-06T11:00,3.3,85.0,0.0,9.3,0.0,21.6,0
02/06/2024 12,1039,2024-02-06T12:00,4.8,80.0,0.0,2.4,2.6,19.1,0
02/06/2024 13,1075,2024-02-06T13:00,5.8,78.0,0.0,9.7,2.6,19.1,0
02/06/2024 14,1032,2024-02-06T14:00,6.5,77.0,0.0,9.4,3.4,20.9,1
02/06/2024 15,1073,2024-02-06T15:00,6.6,78.0,0.0,9.2,3.7,18.7,1
02/06/2024 16,1265,2024-02-06T16:00,5.9,83.0,0.0,9.9,2.8,17.3,3
02/06/2024 17,1196,2024-02-06T17:00,4.0,89.0,0.0,9.1,1.0,16.2,2
02/06/2024 18,1059,2024-02-06T18:00,2.1,92.0,0.0,10.0,-1.3,14.4,0
02/06/2024 19,873,2024-02-06T19:00,0.1,95.0,0.0,11.1,-3.7,13.7,3
02/06/2024 20,586,2024-02-06T20:00,-0.2,93.0,0.0,12.0,-4.3,16.6,3
02/06/2024 21,481,2024-02-06T21:00,-0.5,91.0,0.0,13.1,-4.8,18.0,3
02/06/2024 22,343,2024-02-06T22:00,-0.8,90.0,0.0,12.1,-5.0,18.0,3
02/06/2024 23,270,2024-02-06T23:00,-0.9,88.0,0.0,12.7,-5.3,16.9,3
02/07/2024 00,128,2024-02-07T00:00,-0.8,86.0,0.0,12.7,-5.2,17.6,3
02/07/2024 01,44,2024-02-07T01:00,-1.0,85.0,0.0,13.3,-5.5,18.0,3
02/07/2024 02,26,2024-02-07T02:00,-1.3,85.0,0.0,12.7,-5.8,18.0,3
02/07/2024 03,45,2024-02-07T03:00,-1.6,85.0,0.0,10.8,-5.8,16.9,3
02/07/2024 04,76,2024-02-07T04:00,-1.9,85.0,0.0,11.3,-6.3,14.8,3
02/07/2024 05,140,2024-02-07T05:00,-1.7,85.0,0.0,10.1,-5.8,15.1,3
02/07/2024 06,311,2024-02-07T06:00,-2.5,88.0,0.0,7.0,-6.3,13.7,3
02/07/2024 07,680,2024-02-07T07:00,-2.2,88.0,0.0,8.2,-6.0,9.7,3
02/07/2024 08,1072,2024-02-07T08:00,-1.0,85.0,0.0,8.6,-4.9,11.9,3
02/07/2024 09,1085,2024-02-07T09:00,0.7,84.0,0.0,10.8,-3.3,18.0,3
02/07/2024 10,963,2024-02-07T10:00,3.1,78.0,0.0,10.5,-0.6,19.1,3
02/07/2024 11,1014,2024-02-07T11:00,4.7,74.0,0.0,11.3,1.0,19.8,3
02/07/2024 12,1003,2024-02-07T12:00,6.2,70.0,0.0,12.8,2.3,21.6,3
02/07/2024 13,1089,2024-02-07T13:00,6.8,68.0,0.0,14.7,2.7,22.7,3
02/07/2024 14,1042,2024-02-07T14:00,7.2,69.0,0.0,14.6,3.2,25.9,3
02/07/2024 15,1083,2024-02-07T15:00,7.4,70.0,0.0,16.0,3.3,24.8,3
02/07/2024 16,1194,2024-02-07T16:00,7.3,72.0,0.0,15.3,3.3,24.1,3
02/07/2024 17,1246,2024-02-07T17:00,6.1,74.0,0.0,13.7,2.3,22.0,3
02/07/2024 18,1070,2024-02-07T18:00,5.0,75.0,0.0,14.7,0.8,19.4,3
02/07/2024 19,904,2024-02-07T19:00,4.1,74.0,0.0,20.1,-1.0,28.8,3
02/07/2024 20,700,2024-02-07T20:00,3.8,74.0,0.0,18.7,-1.1,28.4,3
02/07/2024 21,506,2024-02-07T21:00,3.6,75.0,0.0,18.4,-1.3,27.0,3
02/07/2024 22,325,2024-02-07T22:00,3.3,76.0,0.0,19.1,-1.7,26.6,3
02/07/2024 23,260,2024-02-07T23:00,3.6,76.0,0.0,21.4,-1.7,29.9,3
02/08/2024 00,145,2024-02-08T00:00,3.6,75.0,0.0,22.3,-1.8,31.0,3
02/08/2024 01,62,2024-02-08T01:00,3.5,74.0,0.0,21.7,-1.9,31.7,3
02/08/2024 02,43,2024-02-08T02:00,3.9,71.0,0.0,22.4,-1.6,31.7,3
02/08/2024 03,34,2024-02-08T03:00,4.4,68.0,0.0,21.6,-1.1,31.7,3
02/08/2024 04,70,2024-02-08T04:00,4.9,67.0,0.0,21.3,-0.5,30.2,3
02/08/2024 05,151,2024-02-08T05:00,4.9,69.0,0.0,20.9,-0.3,29.5,3
02/08/2024 06,315,2024-02-08T06:00,5.0,69.0,0.0,21.3,-0.3,29.5,3
02/08/2024 07,665,2024-02-08T07:00,7.0,63.0,0.0,24.1,1.4,33.8,2
02/08/2024 08,1035,2024-02-08T08:00,7.3,65.0,0.0,24.2,1.8,34.2,2
02/08/2024 09,1041,2024-02-08T09:00,9.1,63.0,0.0,26.9,3.4,40.0,2
02/08/2024 10,953,2024-02-08T10:00,10.2,63.0,0.0,28.8,4.4,41.0,0
02/08/2024 11,1012,2024-02-08T11:00,11.9,59.0,0.0,32.1,5.8,47.2,1
02/08/2024 12,1027,2024-02-08T12:00,13.1,57.0,0.0,31.4,7.2,47.2,3
02/08/2024 13,1048,2024-02-08T13:00,13.4,60.0,0.0,31.9,7.7,48.6,0
02/08/2024 14,1132,2024-02-08T14:00,13.9,61.0,0.0,33.6,8.1,49.3,2
02/08/2024 15,1113,2024-02-08T15:00,13.0,69.0,0.0,30.1,7.9,49.0,2
02/08/2024 16,1241,2024-02-08T16:00,12.8,71.0,0.0,31.5,7.6,46.1,0
02/08/2024 17,1359,2024-02-08T17:00,12.1,74.0,0.0,32.1,6.8,47.9,1
02/08/2024 18,1210,2024-02-08T18:00,11.7,77.0,0.0,32.8,6.3,46.8,3
02/08/2024 19,959,2024-02-08T19:00,11.3,75.0,0.0,33.4,5.7,48.6,3
02/08/2024 20,769,2024-02-08T20:00,10.7,79.0,0.0,24.5,6.4,47.5,2
02/08/2024 21,703,2024-02-08T21:00,10.4,78.0,0.0,30.5,5.1,43.9,0
02/08/2024 22,603,2024-02-08T22:00,10.1,77.0,0.0,29.2,4.9,45.4,0
02/08/2024 23,397,2024-02-08T23:00,10.3,80.0,0.0,33.6,4.6,47.9,0
02/09/2024 00,192,2024-02-09T00:00,9.8,83.0,0.0,31.1,4.5,48.2,0
02/09/2024 01,78,2024-02-09T01:00,8.6,83.0,0.0,24.5,3.9,44.3,0
02/09/2024 02,62,2024-02-09T02:00,6.8,76.0,0.0,21.4,2.1,34.2,0
02/09/2024 03,65,2024-02-09T03:00,5.4,77.0,0.0,18.9,0.7,29.9,0
02/09/2024 04,87,2024-02-09T04:00,4.4,80.0,0.0,17.7,-0.2,25.9,0
02/09/2024 05,147,2024-02-09T05:00,3.8,82.0,0.0,18.0,-0.8,24.5,0
02/09/2024 06,263,2024-02-09T06:00,3.5,83.0,0.0,19.3,-1.3,26.6,0
02/09/2024 07,509,2024-02-09T07:00,3.8,76.0,0.0,18.8,-1.1,26.3,0
02/09/2024 08,728,2024-02-09T08:00,4.9,74.0,0.0,19.4,0.1,27.0,0
02/09/2024 09,860,2024-02-09T09:00,7.1,71.0,0.0,19.7,2.5,29.9,0
02/09/2024 10,789,2024-02-09T10:00,8.9,67.0,0.0,23.2,3.9,34.6,0
02/09/2024 11,839,2024-02-09T11:00,10.4,61.0,0.0,25.9,5.0,39.6,0
02/09/2024 12,906,2024-02-09T12:00,11.5,58.0,0.0,26.2,6.1,40.0,1
02/09/2024 13,1010,2024-02-09T13:00,12.3,56.0,0.0,27.6,6.8,42.1,3
02/09/2024 14,1070,2024-02-09T14:00,12.5,56.0,0.0,26.1,7.2,42.1,3
02/09/2024 15,991,2024-02-09T15:00,12.1,60.0,0.0,23.0,7.4,39.2,3
02/09/2024 16,1020,2024-02-09T16:00,11.4,64.0,0.0,21.2,7.0,33.1,2
02/09/2024 17,1110,2024-02-09T17:00,9.9,68.0,0.0,20.5,5.5,30.2,0
02/09/2024 18,1095,2024-02-09T18:00,8.1,75.0,0.0,17.8,4.1,28.4,0
02/09/2024 19,954,2024-02-09T19:00,6.2,77.0,0.0,13.8,2.5,18.4,0
02/09/2024 20,647,2024-02-09T20:00,5.1,73.0,0.0,16.6,0.7,22.7,0
02/09/2024 21,572,2024-02-09T21:00,3.9,75.0,0.0,17.5,-0.8,24.1,0
02/09/2024 22,492,2024-02-09T22:00,2.9,77.0,0.0,15.1,-1.6,24.1,0
02/09/2024 23,435,2024-02-09T23:00,1.6,82.0,0.0,11.3,-2.3,20.5,0
02/10/2024 00,263,2024-02-10T00:00,0.4,85.0,0.0,9.1,-3.3,14.4,0
02/10/2024 01,215,2024-02-10T01:00,-0.4,85.0,0.0,9.4,-4.2,11.9,0
02/10/2024 02,127,2024-02-10T02:00,-0.9,85.0,0.0,9.8,-4.9,12.2,0
02/10/2024 03,101,2024-02-10T03:00,-1.5,85.0,0.0,9.4,-5.5,12.2,0
02/10/2024 04,86,2024-02-10T04:00,-1.8,85.0,0.0,10.9,-6.1,14.4,0
02/10/2024 05,104,2024-02-10T05:00,-2.2,85.0,0.0,11.9,-6.7,15.8,0
02/10/2024 06,127,2024-02-10T06:00,-2.6,84.0,0.0,13.4,-7.4,18.0,0
02/10/2024 07,179,2024-02-10T07:00,-1.8,85.0,0.0,14.9,-6.6,20.9,0
02/10/2024 08,246,2024-02-10T08:00,-1.1,82.0,0.0,13.4,-5.7,21.6,0
02/10/2024 09,423,2024-02-10T09:00,0.2,74.0,0.0,16.9,-4.9,26.3,0
02/10/2024 10,488,2024-02-10T10:00,1.1,70.0,0.0,19.5,-4.4,31.7,3
02/10/2024 11,594,2024-02-10T11:00,1.9,67.0,0.0,18.2,-3.4,31.3,3
02/10/2024 12,585,2024-02-10T12:00,3.1,63.0,0.0,16.1,-1.8,30.2,2
02/10/2024 13,626,2024-02-10T13:00,4.1,60.0,0.0,12.6,-0.3,27.7,0
02/10/2024 14,669,2024-02-10T14:00,5.0,55.0,0.0,13.0,0.5,23.4,1
02/10/2024 15,648,2024-02-10T15:00,5.0,55.0,0.0,14.5,0.3,23.8,3
02/10/2024 16,700,2024-02-10T16:00,4.5,56.0,0.0,17.6,-0.7,26.3,3
02/10/2024 17,748,2024-02-10T17:00,3.2,62.0,0.0,15.4,-1.7,25.9,3
02/10/2024 18,771,2024-02-10T18:00,1.7,68.0,0.0,12.7,-2.8,21.6,3
02/10/2024 19,666,2024-02-10T19:00,1.5,73.0,0.0,0.8,-1.2,3.2,3
02/10/2024 20,542,2024-02-10T20:00,0.5,76.0,0.0,3.8,-2.6,4.0,0
02/10/2024 21,425,2024-02-10T21:00,-2.0,84.0,0.0,7.4,-5.8,7.9,1
02/10/2024 22,415,2024-02-10T22:00,-1.9,83.0,0.0,10.6,-6.2,13.7,3
02/10/2024 23,351,2024-02-10T23:00,-2.3,86.0,0.0,9.3,-6.4,13.3,3
02/11/2024 00,271,2024-02-11T00:00,-1.9,87.0,0.0,10.7,-6.1,13.3,3
02/11/2024 01,194,2024-02-11T01:00,-1.6,85.0,0.0,12.7,-6.1,16.9,3
02/11/2024 02,136,2024-02-11T02:00,-2.0,87.0,0.0,11.5,-6.3,16.9,2
02/11/2024 03,111,2024-02-11T03:00,-1.8,87.0,0.0,13.0,-6.4,17.3,2
02/11/2024 04,81,2024-02-11T04:00,-2.4,88.0,0.0,11.7,-6.8,17.6,0
02/11/2024 05,71,2024-02-11T05:00,-2.6,87.0,0.0,13.4,-7.3,18.0,2
02/11/2024 06,133,2024-02-11T06:00,-2.9,84.0,0.0,12.9,-7.6,18.4,3
02/11/2024 07,189,2024-02-11T07:00,-2.7,84.0,0.0,12.2,-7.3,17.3,3
02/11/2024 08,263,2024-02-11T08:00,-1.8,80.0,0.0,9.3,-5.9,16.6,3
02/11/2024 09,381,2024-02-11T09:00,-0.7,73.0,0.0,9.8,-4.9,16.9,3
02/11/2024 10,441,2024-02-11T10:00,0.2,70.0,0.0,8.1,-3.8,18.4,3
02/11/2024 11,519,2024-02-11T11:00,1.0,67.0,0.0,6.0,-2.6,16.9,3
02/11/2024 12,568,2024-02-11T12:00,2.0,62.0,0.0,5.2,-1.5,15.1,3
02/11/2024 13,595,2024-02-11T13:00,2.9,60.0,0.0,5.6,-0.7,15.8,1
02/11/2024 14,641,2024-02-11T14:00,3.2,61.0,0.0,4.5,-0.1,15.5,0
02/11/2024 15,630,2024-02-11T15:00,3.1,68.0,0.0,4.6,-0.1,13.7,0
02/11/2024 16,739,2024-02-11T16:00,2.4,76.0,0.0,6.8,-1.0,14.0,0
02/11/2024 17,788,2024-02-11T17:00,1.1,84.0,0.0,7.2,-2.3,13.7,3
02/11/2024 18,609,2024-02-11T18:00,-0.4,91.0,0.0,7.1,-3.8,10.1,1
02/11/2024 19,640,2024-02-11T19:00,-0.9,82.0,0.0,3.1,-4.0,10.4,0
02/11/2024 20,518,2024-02-11T20:00,-1.0,82.0,0.0,3.3,-4.1,3.6,0
02/11/2024 21,392,2024-02-11T21:00,-2.9,91.0,0.0,5.4,-6.4,7.2,0
02/11/2024 22,512,2024-02-11T22:00,-3.6,94.0,0.0,5.4,-7.2,6.8,0
02/11/2024 23,290,2024-02-11T23:00,-4.0,96.0,0.0,7.8,-7.9,9.7,0
02/12/2024 00,140,2024-02-12T00:00,-4.2,95.0,0.0,7.6,-8.1,10.4,0
02/12/2024 01,76,2024-02-12T01:00,-4.5,94.0,0.0,7.9,-8.5,10.1,0
02/12/2024 02,38,2024-02-12T02:00,-4.7,92.0,0.0,8.1,-8.8,10.4,0
02/12/2024 03,57,2024-02-12T03:00,-4.9,91.0,0.0,8.7,-9.1,10.8,0
02/12/2024 04,86,2024-02-12T04:00,-5.2,90.0,0.0,8.1,-9.4,10.8,0
02/12/2024 05,174,2024-02-12T05:00,-5.7,90.0,0.0,6.9,-9.7,10.1,0
02/12/2024 06,322,2024-02-12T06:00,-6.1,91.0,0.0,7.1,-10.2,9.0,0
02/12/2024 07,596,2024-02-12T07:00,-5.9,91.0,0.0,8.7,-10.2,12.2,0
02/12/2024 08,938,2024-02-12T08:00,-3.6,85.0,0.0,6.9,-7.5,11.2,0
02/12/2024 09,1049,2024-02-12T09:00,-0.6,72.0,0.0,9.1,-4.8,16.6,0
02/12/2024 10,910,2024-02-12T10:00,2.0,63.0,0.0,9.0,-2.1,18.4,0
02/12/2024 11,912,2024-02-12T11:00,3.2,56.0,0.0,5.6,-0.4,17.6,0
02/12/2024 12,895,2024-02-12T12:00,4.4,52.0,0.0,8.9,0.4,19.8,0
02/12/2024 13,978,2024-02-12T13:00,5.1,48.0,0.0,5.8,1.7,19.1,0
02/12/2024 14,980,2024-02-12T14:00,5.6,45.0,0.0,5.5,1.9,15.5,0
02/12/2024 15,995,2024-02-12T15:00,5.7,44.0,0.0,4.7,2.2,14.4,0
02/12/2024 16,987,2024-02-12T16:00,5.6,46.0,0.0,7.0,1.8,12.2,1
02/12/2024 17,1027,2024-02-12T17:00,3.5,65.0,0.0,9.1,-0.3,12.2,3
02/12/2024 18,898,2024-02-12T18:00,1.4,70.0,0.0,12.0,-3.0,15.1,2
02/12/2024 19,826,2024-02-12T19:00,1.4,74.0,0.0,10.9,-2.8,13.7,0
02/12/2024 20,643,2024-02-12T20:00,-0.1,78.0,0.0,10.6,-4.2,13.7,0
02/12/2024 21,484,2024-02-12T21:00,-1.1,82.0,0.0,10.2,-5.2,13.3,0
02/12/2024 22,359,2024-02-12T22:00,-1.4,82.0,0.0,11.0,-5.7,14.0,0
02/12/2024 23,293,2024-02-12T23:00,-1.5,82.0,0.0,11.6,-5.9,15.1,0
02/13/2024 00,186,2024-02-13T00:00,-1.8,83.0,0.0,11.4,-6.2,15.1,0
02/13/2024 01,89,2024-02-13T01:00,-1.7,82.0,0.0,13.0,-6.3,16.9,0
02/13/2024 02,37,2024-02-13T02:00,-1.2,80.0,0.0,16.8,-6.4,23.0,0
02/13/2024 03,37,2024-02-13T03:00,-1.4,82.0,0.0,17.9,-6.7,24.8,0
02/13/2024 04,59,2024-02-13T04:00,-1.7,81.0,0.0,17.7,-7.1,25.6,0
02/13/2024 05,138,2024-02-13T05:00,-2.2,80.0,0.0,17.4,-7.6,24.8,0
02/13/2024 06,296,2024-02-13T06:00,-2.8,79.0,0.0,16.3,-8.1,24.5,0
02/13/2024 07,702,2024-02-13T07:00,-2.7,77.0,0.0,15.0,-7.9,21.6,0
02/13/2024 08,1096,2024-02-13T08:00,-1.8,74.0,0.0,12.7,-6.5,21.2,0
02/13/2024 09,1117,2024-02-13T09:00,-0.2,68.0,0.0,13.5,-5.0,22.3,0
02/13/2024 10,932,2024-02-13T10:00,1.2,61.0,0.0,13.8,-3.6,24.1,0
02/13/2024 11,960,2024-02-13T11:00,2.3,54.0,0.0,12.3,-2.4,24.1,2
02/13/2024 12,985,2024-02-13T12:00,3.1,51.0,0.0,11.0,-1.3,23.0,2
02/13/2024 13,1058,2024-02-13T13:00,3.9,47.0,0.0,11.2,-0.7,22.0,2
02/13/2024 14,1033,2024-02-13T14:00,3.6,50.0,0.0,9.7,-0.7,21.6,2
02/13/2024 15,1073,2024-02-13T15:00,2.5,64.0,0.0,13.3,-2.1,23.0,2
02/13/2024 16,1191,2024-02-13T16:00,1.3,68.0,0.0,14.3,-3.4,24.5,1
02/13/2024 17,1248,2024-02-13T17:00,0.3,74.0,0.0,9.6,-3.7,23.0,1
02/13/2024 18,1207,2024-02-13T18:00,-1.3,83.0,0.0,6.6,-4.9,13.7,0
